Statement of Account

Account Name:,MR ACCOUNT HOLDER
Account Number:,XXXXXXXX8891
Statement Period:,01/09/2025 to 31/07/2026

Txn Date,Value Date,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
06/09/2025,06/09/2025,NEFT-TECHCADD SOLUTIONS SALARY-534439589175,161449805770,,"20,666.00","65,666.00"
07/09/2025,07/09/2025,UPI/DR/561423994714/FLIPKART INTERNET/AXIS/flipkart@ybl/Shopping,310546973602,707.00,,"64,959.00"
07/09/2025,07/09/2025,UPI/DR/566223197902/BLINKIT/HDFC/blinkit@ybl/Groceries,811566401488,692.00,,"64,267.00"
08/09/2025,08/09/2025,POS 4512XXXXXXXX8891 CAFE COFFEE DAY   PATIALA,187703300363,379.00,,"63,888.00"
09/09/2025,09/09/2025,LIC INSURANCE PREMIUM AUTO DEBIT 231171247084,350213009806,"2,916.00",,"60,972.00"
18/09/2025,18/09/2025,UPI/CR/162632597597/REFUND AMAZON/HDFC/amazon@apl/Return,566722736064,,"2,378.00","63,350.00"
19/09/2025,19/09/2025,UPI/DR/497083403312/HOUSE RENT MARCH/SBI/landlord@oksbi/Rent,507700461323,"8,573.00",,"54,777.00"
20/09/2025,20/09/2025,POS 4512XXXXXXXX8891 CAFE COFFEE DAY   PATIALA,642139918049,195.00,,"54,582.00"
20/09/2025,20/09/2025,POS 4512XXXXXXXX8891 PVR CINEMAS CHANDIGARH,864650626009,455.00,,"54,127.00"
21/09/2025,21/09/2025,UPI/DR/282184450280/BLINKIT/HDFC/blinkit@ybl/Groceries,887430935593,441.00,,"53,686.00"
22/09/2025,22/09/2025,POS 4512XXXXXXXX8891 MYNTRA DESIGNS BENGALURU,496943269121,890.00,,"52,796.00"
22/09/2025,22/09/2025,UPI/DR/171777969186/PHARMEASY/HDFC/pharmeasy@apl/Order,536723298474,399.00,,"52,397.00"
23/09/2025,23/09/2025,POS 4512XXXXXXXX8891 CAFE COFFEE DAY   PATIALA,105145712893,385.00,,"52,012.00"
23/09/2025,23/09/2025,POS 4512XXXXXXXX8891 DMART PATIALA,421250944642,"2,982.00",,"49,030.00"
23/09/2025,23/09/2025,UPI/DR/676815177813/JIO RECHARGE/RELIANCE/jio@ybl/Prepaid,175182880205,282.00,,"48,748.00"
23/09/2025,23/09/2025,UPI/DR/447112184522/BLINKIT/HDFC/blinkit@ybl/Groceries,642047286424,"1,342.00",,"47,406.00"
28/09/2025,28/09/2025,NEFT-CRED CLUB RENT PAYMENT-415460340794,323208843606,"5,813.00",,"41,593.00"
30/09/2025,30/09/2025,UPI/DR/865276271002/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,943152398940,453.00,,"41,140.00"
01/10/2025,01/10/2025,UPI/DR/300497674900/NETFLIX INDIA/HDFC/netflix@ybl/Subscription,313975289990,772.00,,"40,368.00"
06/10/2025,06/10/2025,NEFT-TECHCADD SOLUTIONS SALARY-861670025794,612092424515,,"19,434.00","59,802.00"
06/10/2025,06/10/2025,UPI/DR/942750785275/MOTHER DAIRY/PNB/dairy@ibl/Milk,388713898465,186.00,,"59,616.00"
07/10/2025,07/10/2025,UPI/DR/590340809498/UDEMY ONLINE/HDFC/udemy@ybl/Course,217230843944,"2,482.00",,"57,134.00"
09/10/2025,09/10/2025,UPI/DR/822550752886/ZEPTO MARKETPLACE/SBI/zepto@apl/Order,786988294896,330.00,,"56,804.00"
13/10/2025,13/10/2025,UPI/DR/254117960025/UDEMY ONLINE/HDFC/udemy@ybl/Course,772144191457,"2,699.00",,"54,105.00"
13/10/2025,13/10/2025,UPI/DR/558300484154/HOUSE RENT MARCH/SBI/landlord@oksbi/Rent,633535114578,"10,507.00",,"43,598.00"
14/10/2025,14/10/2025,POS 4512XXXXXXXX8891 HPCL PETROL PUMP RAJPURA,162986959215,"1,576.00",,"42,022.00"
16/10/2025,16/10/2025,UPI/DR/770736660454/ZOMATO ONLINE/AXIS/zomato@ybl/Order,756909927757,652.00,,"41,370.00"
17/10/2025,17/10/2025,UPI/DR/213361882285/UDEMY ONLINE/HDFC/udemy@ybl/Course,157524472604,"2,079.00",,"39,291.00"
20/10/2025,20/10/2025,POS 4512XXXXXXXX8891 MYNTRA DESIGNS BENGALURU,126684413116,749.00,,"38,542.00"
24/10/2025,24/10/2025,NEFT-IKGPTU COLLEGE FEE-450324768017,757018841248,"20,099.00",,"18,443.00"
24/10/2025,24/10/2025,UPI/DR/845842401730/UBER INDIA/HDFC/uber@icici/Ride,555876036808,617.00,,"17,826.00"
27/10/2025,27/10/2025,ATM CASH WDL 4512XXXXXXXX8891 PATIALA,877611733984,"2,831.00",,"14,995.00"
28/10/2025,28/10/2025,UPI/DR/442315301686/BLINKIT/HDFC/blinkit@ybl/Groceries,302121741880,324.00,,"14,671.00"
28/10/2025,28/10/2025,LIC INSURANCE PREMIUM AUTO DEBIT 534855194499,595610542868,"1,729.00",,"12,942.00"
31/10/2025,31/10/2025,UPI/DR/620850423169/PAYTM QR/HDFC/merchant@paytm/Payment,885541647505,120.00,,"12,822.00"
02/11/2025,02/11/2025,UPI/DR/264199827455/APOLLO PHARMACY/ICICI/apollo@ybl/Medicines,447392346516,"1,518.00",,"11,304.00"
02/11/2025,02/11/2025,POS 4512XXXXXXXX8891 CAFE COFFEE DAY   PATIALA,223406108907,323.00,,"10,981.00"
